index,id,Date,City,Temperature
232,32440,20.08.2012,New York City,73.6
233,32441,21.08.2012,New York City,74.9
234,32442,22.08.2012,New York City,76.6
235,32443,23.08.2012,New York City,77.5
236,32444,24.08.2012,New York City,78.7
237,32445,25.08.2012,New York City,77.5
238,32446,26.08.2012,New York City,74.5
239,32447,27.08.2012,New York City,75.8
240,32448,28.08.2012,New York City,79.9
241,32449,29.08.2012,New York City,75.2
242,32450,30.08.2012,New York City,75.2
243,32451,31.08.2012,New York City,81.9
244,32452,01.09.2012,New York City,83.4
245,32453,02.09.2012,New York City,76.1
246,32454,03.09.2012,New York City,74.7
247,32455,04.09.2012,New York City,74.5
248,32456,05.09.2012,New York City,78.6
249,32457,06.09.2012,New York City,75.9
250,32458,07.09.2012,New York City,79.0
251,32459,08.09.2012,New York City,78.3
252,32460,09.09.2012,New York City,70.9
253,32461,10.09.2012,New York City,67.9
254,32462,11.09.2012,New York City,65.1
255,32463,12.09.2012,New York City,70.8
256,32464,13.09.2012,New York City,71.9
257,32465,14.09.2012,New York City,72.1
258,32466,15.09.2012,New York City,69.3
259,32467,16.09.2012,New York City,67.9
260,32468,17.09.2012,New York City,70.0
261,32469,18.09.2012,New York City,72.7
262,32470,19.09.2012,New York City,67.5
263,32471,20.09.2012,New York City,63.3
264,32472,21.09.2012,New York City,66.1
265,32473,22.09.2012,New York City,67.7
266,32474,23.09.2012,New York City,66.0
267,32475,24.09.2012,New York City,62.1
268,32476,25.09.2012,New York City,64.1
269,32477,26.09.2012,New York City,69.4
270,32478,27.09.2012,New York City,71.4
271,32479,28.09.2012,New York City,67.5
272,32480,29.09.2012,New York City,62.1
273,32481,30.09.2012,New York City,62.4
274,32482,01.10.2012,New York City,63.0
275,32483,02.10.2012,New York City,66.5
276,32484,03.10.2012,New York City,66.3
277,32485,04.10.2012,New York City,70.1
278,32486,05.10.2012,New York City,71.4
279,32487,06.10.2012,New York City,70.5
280,32488,07.10.2012,New York City,54.8
281,32489,08.10.2012,New York City,51.7
282,32490,09.10.2012,New York City,55.4
283,32491,10.10.2012,New York City,59.8
284,32492,11.10.2012,New York City,56.0
285,32493,12.10.2012,New York City,53.7
286,32494,13.10.2012,New York City,47.3
287,32495,14.10.2012,New York City,59.7
288,32496,15.10.2012,New York City,67.0
289,32497,16.10.2012,New York City,58.1
290,32498,17.10.2012,New York City,53.9
291,32499,18.10.2012,New York City,58.4
292,32500,19.10.2012,New York City,64.9
293,32501,20.10.2012,New York City,64.9
294,32502,21.10.2012,New York City,58.9
295,32503,22.10.2012,New York City,60.4
296,32504,23.10.2012,New York City,61.9
297,32505,24.10.2012,New York City,58.2
298,32506,25.10.2012,New York City,58.9
299,32507,26.10.2012,New York City,62.2
300,32508,27.10.2012,New York City,63.2
301,32509,28.10.2012,New York City,59.2
302,32510,29.10.2012,New York City,58.4
303,32511,30.10.2012,New York City,57.7
304,32512,31.10.2012,New York City,51.4
305,32513,01.11.2012,New York City,47.5
306,32514,02.11.2012,New York City,49.2
307,32515,03.11.2012,New York City,46.6
308,32516,04.11.2012,New York City,43.2
309,32517,05.11.2012,New York City,43.2
310,32518,06.11.2012,New York City,38.4
311,32519,07.11.2012,New York City,38.9
312,32520,08.11.2012,New York City,40.1
313,32521,09.11.2012,New York City,44.9
314,32522,10.11.2012,New York City,49.6
315,32523,11.11.2012,New York City,54.1
316,32524,12.11.2012,New York City,56.0
317,32525,13.11.2012,New York City,53.3
318,32526,14.11.2012,New York City,43.3
319,32527,15.11.2012,New York City,41.7
320,32528,16.11.2012,New York City,42.6
321,32529,17.11.2012,New York City,44.8
322,32530,18.11.2012,New York City,44.7
323,32531,19.11.2012,New York City,43.6
324,32532,20.11.2012,New York City,45.3
